Name,Cohort,Grade,Empathy_Skills,Purpose,Real_World_Experience,Designing_a_Solution,Advocacy_Skills
27044,2027,9,80,NA,NA,NA,NA
27046,2027,9,75,70,NA,76.8,NA
27048,2027,9,75,NA,89,NA,NA
27051,2027,9,75,92,94,87,NA
27053,2027,9,88.5,NA,87,NA,NA
27054,2027,9,75,NA,75,NA,NA
27055,2027,9,80,NA,80,80,NA
27056,2027,9,85,NA,NA,NA,NA
27057,2027,9,83.33333333,63.33333333,71.66666667,83.33333333,NA
27060,2027,9,NA,80,NA,NA,NA
27062,2027,9,85,NA,NA,75,75
27063,2027,9,90,NA,NA,100,NA
27069,2027,9,100,NA,NA,NA,NA
27070,2027,9,100,50,NA,70,NA
27073,2027,9,70,NA,NA,65,NA
27075,2027,9,96.66666667,NA,NA,NA,NA
27077,2027,9,85,NA,NA,NA,NA
27081,2027,9,NA,NA,83.33333333,NA,NA
27082,2027,9,NA,62.5,NA,75,NA
27083,2027,9,95,95,100,NA,NA
27084,2027,9,NA,NA,73.33333333,NA,NA
27086,2027,9,70,NA,NA,NA,NA
27088,2027,9,70,90,96.66666667,NA,NA
27089,2027,9,NA,80,NA,NA,NA
27090,2027,9,NA,NA,85,NA,NA
27091,2027,9,80,50,NA,NA,NA
27093,2027,9,78,51,NA,NA,NA
27094,2027,9,82.5,NA,85,NA,NA
27096,2027,9,80,55,NA,NA,67
27097,2027,9,NA,75,NA,NA,NA
27098,2027,9,82.5,NA,75,75,NA
27099,2027,9,71.25,NA,50,80,NA
27100,2027,9,92,NA,NA,NA,NA
27101,2027,9,NA,NA,80,NA,NA
27102,2027,9,90,NA,85,NA,NA
27107,2027,9,100,NA,NA,NA,NA
27108,2027,9,NA,100,100,100,NA
27109,2027,9,87.5,NA,89,NA,NA
27110,2027,9,NA,50,NA,NA,NA
27111,2027,9,NA,50,NA,NA,NA
27112,2027,9,NA,NA,NA,90,NA
27116,2027,9,90,NA,NA,NA,NA
27117,2027,9,NA,84,85,NA,NA
27118,2027,9,85,90,91.66666667,85,NA
27120,2027,9,NA,43,60,NA,NA
27132,2027,9,90,NA,NA,65,NA
27134,2027,9,100,NA,NA,NA,60
27135,2027,9,80,NA,89,NA,NA
27136,2027,9,97,NA,NA,NA,NA
27138,2027,9,NA,60,78,NA,90
27140,2027,9,63,NA,78,NA,NA
27143,2027,9,100,NA,NA,NA,NA
27144,2027,9,70,NA,NA,NA,NA
27145,2027,9,100,NA,NA,NA,NA
27149,2027,9,97.33333333,NA,98,NA,95
27158,2027,9,NA,100,NA,NA,NA
27163,2027,9,81.5,NA,80,NA,NA
